movie_name,year,genres,rating
Nightcrawler,2014,"Crime, Drama, Thriller",7.8
Enola Holmes,2020,"Action, Adventure, Crime",6.6
Zodiac,2007,"Crime, Drama, Mystery",7.7
Primal Fear,1996,"Crime, Drama, Mystery",7.7
Thunderbolts,2024,"Action, Adventure, Crime",
My Cousin Vinny,1992,"Comedy, Crime",7.6
Fargo,1996,"Crime, Thriller",8.1
Spotlight,2015,"Biography, Crime, Drama",8.1
Knock Knock,2015,"Crime, Drama, Horror",4.9
We're the Millers,2013,"Comedy, Crime",7.0
Furious 7,2015,"Action, Crime, Thriller",7.1
Hangover Square,1945,"Crime, Drama, Music",7.4
Minority Report,2002,"Action, Crime, Mystery",7.6
Fast & Furious,2009,"Action, Crime, Thriller",6.5
Beverly Hills Cop,1984,"Action, Comedy, Crime",7.3
Batgirl,,"Action, Adventure, Crime",
Spiderhead,2022,"Action, Crime, Drama",5.4
Bandit,2022,"Crime, Drama, Thriller",6.4
Sleepers,1996,"Crime, Drama, Thriller",7.5
Con Air,1997,"Action, Crime, Thriller",6.9
Memory,2022,"Action, Crime, Thriller",5.7
Seven Psychopaths,2012,"Comedy, Crime",7.1
The Warriors,1979,"Action, Crime, Thriller",7.6
Drishyam 2,2022,"Crime, Drama, Mystery",8.3
The Nice Guys,2016,"Action, Comedy, Crime",7.3
The Godfather Part III,1990,"Crime, Drama",7.6
The Town,2010,"Crime, Drama, Thriller",7.5
Wild Things,1998,"Crime, Drama, Mystery",6.6
Uncut Gems,2019,"Crime, Drama, Thriller",7.4
Training Day,2001,"Action, Crime, Drama",7.7
Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy",7.9
Point Break,1991,"Action, Crime, Thriller",7.2
Ocean's Eight,2018,"Action, Comedy, Crime",6.3
El Camino: A Breaking Bad Movie,2019,"Action, Crime, Drama",7.3
Mindcage,2022,"Crime, Drama, Mystery",4.5
Sin City,2005,"Crime, Thriller",8.0
Inside Man,2006,"Crime, Drama, Mystery",7.6
Let Him Go,2020,"Crime, Drama, Thriller",6.7
West Side Story,2021,"Crime, Drama, Musical",7.2
Den of Thieves,2018,"Action, Crime, Drama",7.0
The Fate of the Furious,2017,"Action, Crime, Thriller",6.6
Hannibal,2001,"Crime, Drama, Thriller",6.8
Girl in the Basement,2021,"Crime, Thriller",6.3
Kick-Ass,2010,"Action, Comedy, Crime",7.6
Gangs of New York,2002,"Crime, Drama",7.5
Ocean's Eleven,2001,"Crime, Thriller",7.7
Bad Times at the El Royale,2018,"Crime, Drama, Mystery",7.1
The Many Saints of Newark,2021,"Crime, Drama",6.3
Birds of Prey,2020,"Action, Comedy, Crime",6.0
"Lock, Stock and Two Smoking Barrels",1998,"Action, Comedy, Crime",8.2
The Sting,1973,"Comedy, Crime, Drama",8.3
DC League of Super-Pets,2022,"Animation, Action, Adventure",7.2
The Guilty,2021,"Crime, Drama, Thriller",6.3
2 Fast 2 Furious,2003,"Action, Crime, Thriller",5.9
The Devil All the Time,2020,"Crime, Drama, Thriller",7.1
Blue Velvet,1986,"Crime, Drama, Mystery",7.7
Army of the Dead,2021,"Action, Crime, Drama",5.7
Gone Baby Gone,2007,"Crime, Drama, Mystery",7.6
Crash,2004,"Crime, Drama, Thriller",7.8
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",7.8
Memories of Murder,2003,"Crime, Drama, Mystery",8.1
