movie_name,year,genres,rating
Klec pro dva,1968,"Drama, Romance",6.8
Santa's Chairs,,"Family, Romance",
The Triple Bed,1972,"Comedy, Romance",5.6
Bonds of Love,1919,"Drama, Romance",
Ni de xin ni mei you wo,1970,Romance,
Old World Ghost,,"Fantasy, Romance",
Sutla,1999,"Drama, Romance",7.9
Adults,2017,"Comedy, Musical, Romance",8.3
Nirmala Aunty,2012,Romance,5.1
The Department,2015,"Romance, Thriller",4.9
Pasta & amore,,"Comedy, Romance",
Litar kasih,1996,"Action, Drama, Romance",
Romeo and Julie,,Romance,
Anybody's Blonde,1931,"Action, Crime, Drama",
Eravamo 7 sorelle,1939,"Comedy, Romance",
Solos en la ciudad,2011,"Comedy, Drama, Romance",6.0
If Memory Serves,2016,"Adventure, Comedy, Romance",
Mere Qadam Tere Pyar Mein,1995,Romance,
Vihmas ja päikeses,1960,"Drama, Romance",6.5
The Flame of Devotion,1964,"Drama, Romance",7.1
Hen ni lu gu,1970,Romance,
Rowdy Lafange,2017,Romance,
Svet v okne,1960,"Drama, Romance",5.3
Historien om Hjortholm,1950,"Drama, Family, Romance",6.5
Meeting Destiny,,Romance,
Tommy Time,2008,"Comedy, Romance",8.1
Jeolmeun bam huhwi eobtda,1986,"Crime, Drama, Romance",
Tian shi zhi wen,1973,"Drama, Romance",
Fighter of Exigent,,"Action, Adventure, Romance",
Nupur,2018,Romance,
123 from Amalapuram,2005,Romance,
Tsarsuli zapkhuli,1959,"Comedy, Romance",6.8
"Proisshestviye, kotorogo nikto ne zametil",1968,Romance,6.3
A Harp for My Beloved,2008,Romance,5.5
Jai Jawan Jai Makan,1971,"Drama, Romance",
The Fifth Taste,,"Drama, Romance",
The Opposition,2022,"Drama, Romance, Thriller",
Donanmanin Gülü,1987,"Comedy, Romance",
#CoEdConfessions,2017,"Comedy, Romance",6.6
Karine,1969,"Comedy, Musical, Romance",6.0
Swallows,1999,"Comedy, Romance",6.5
Queen,2019,Romance,
Sporting Youth,1924,"Action, Comedy, Romance",
The Romano's American Dream,,"Drama, Romance",
Vsyo naoborot,1982,"Comedy, Romance",6.6
The Glorious Fool,1922,"Comedy, Drama, Romance",
"3,2,1 Cinta",2011,"Comedy, Romance",2.8
A Cigarette for the Road,2012,"Comedy, Drama, Romance",7.2
Shyloo,2011,"Crime, Drama, Romance",6.3
Berozgaar,2018,Romance,
Singapore Girl,2014,"Drama, Romance",
Naked in the Dark,1971,"Drama, Romance",
Spowiedz dzieciecia wieku,1986,"Drama, Romance",4.4
Rywale,1925,"Comedy, Romance",
The Fighting Rookie,1934,"Drama, Romance",6.9
Nothing More,2020,"Comedy, Romance",
Kimchi Samosa,,"Comedy, Drama, Romance",
One Night in Mexico,2016,"Comedy, Drama, Romance",
Salangi gagijeone,1959,"Drama, Romance",
Ett kungligt äventyr,1956,Romance,
Allah Sahidim Olsun,1986,"Drama, Romance",
Çöl kartali Seyh Ahmet,1968,"Adventure, Drama, History",6.3
Khakaan,1965,"Action, Drama, History",
Sakhi Tumi Kar,1996,Romance,
Zopf und Schwert - Eine tolle Prinzessin,1926,Romance,
Hendes Hjertes Ridder,1918,Romance,
Sarangadhara,1957,"Drama, History, Musical",7.0
Cai yun pian pian,1975,Romance,
Love Me Tender,,"Biography, Drama, Music",
Betrayal Among Friends,2018,"Drama, Romance",
"Sex, Drugs and Sausage Rolls",2010,"Drama, Mystery, Romance",
When Men Get Pregnant,2005,"Comedy, Romance",5.5
Once and Forever,1927,"Drama, Romance",
Siege,1925,"Drama, Romance",
Rinmukti,2000,Romance,
Sahipsizler,1989,"Drama, Music, Romance",
Leyli va Macnun,1961,"Drama, History, Romance",5.8
Butt Sway,2019,Romance,
Deeply in Love,2020,Romance,
Youth Program,2014,"Drama, Romance",
Love~A~Thon,,"Comedy, Drama, Romance",
The Cowboy and the Dancer,,"Comedy, Drama, Romance",
La carnada,1999,"Drama, Romance",6.0
Allah aski yaratti,1969,"Drama, Romance",
1 Verabredung im Herbst,2021,Romance,
Maria Pentagiotissa,1957,"Drama, Romance",4.7
101byeonjae propose,1993,"Comedy, Romance",5.5
Taong gubat,1993,"Action, Comedy, Romance",
The Freshie,1922,"Action, Comedy, Romance",
Lovers 2,2020,"Comedy, Drama, Romance",6.7
Arabaci Sabahat,1966,"Drama, Romance",
Canim sana feda,1965,"Drama, Romance",5.3
Cheating Cheaters,1927,"Comedy, Crime, Romance",
Lyublyu. Zhdu. Lena,1983,Romance,6.1
Tasting,,"Horror, Mystery, Romance",
Again,1991,"Fantasy, Romance",
Adaraye Namayen,2008,"Drama, Romance",
Prinsipe sabong,2009,"Family, Romance, Sport",
The Concert,1921,"Comedy, Romance",
Musik im Blut,1934,"Music, Romance",
Anubhava,2013,"Drama, Romance",
Dole Mates,2022,"Comedy, Romance",
Hanh phuc qua dam may mau,1996,Romance,
Beauty and the Beast,2017,"Comedy, Drama, Family",
Kerek Ferkó,1943,Romance,6.4
Bump,1964,"Adventure, Drama, Horror",6.4
Provinsen kalder,1935,"Comedy, Family, Music",5.5
Soldiers and Women,1930,"Crime, Mystery, Romance",
Rachel,1960,"Drama, Romance",
Chîchan wa sôkyû no mukô,2008,Romance,6.1
Das Mädchen Marion,1956,"Drama, Romance",5.1
Obyknovennaya istoriya,1962,Romance,
Our Wildest Moments,,Romance,
The Safety Curtain,1918,"Drama, Romance",6.8
Flashmob,2021,"Comedy, Music, Romance",
Prigionieri del male,1955,"Drama, Romance",5.2
This Love,2015,"Comedy, Drama, Family",8.0
Yo quiero vivir contigo,1960,"Comedy, Crime, Romance",1.8
Dvoe pod odnim zontom: Aprelskaya skazka,1983,"Comedy, Musical, Romance",5.5
Tangled Web of True Love Tales,2011,Romance,
"Var Olun, Qizlar",1973,"Drama, Romance",
Vin aris damnashave?,1925,"Western, Drama, Romance",5.2
Illegal Being,2018,"Drama, Romance, Sci-Fi",7.7
Dokhlaya koshka,2009,"Drama, Romance",
Gaeul jangmi,1986,"Drama, Romance",
Things You Can Say to A Stranger,,Romance,
Ron and Justin,2012,"Drama, Romance",
Altin kalpler,1961,"Comedy, Drama, Romance",4.6
Ab heute erwachsen,1985,"Comedy, Drama, Family",6.8
If You're a Bird,,"Comedy, Romance",
Stepchild,1947,"Drama, Romance",
Amuse Me,,"Comedy, Romance",
Mga tigreng taga-bukid,1962,"Action, Comedy, Drama",
Infernal Angels,,"Drama, Romance",
Three Days,2014,"Comedy, Romance",2.7
Bezottsovshchina,1977,"Drama, Romance",6.5
Ipsae,2001,Romance,5.9
Kundiman ng puso,1958,"Musical, Romance, Drama",
Damortis,1986,"Drama, Romance",
Sus sus kimseler duymasin,1968,"Comedy, Romance",5.2
Those Who Love,1926,"Drama, Romance",
Hekayet thalass banat,1968,"Comedy, Drama, Romance",5.2
Rise Up! And Dance,2014,"Comedy, Music, Romance",6.2
482-Love,2013,"Adventure, Comedy, Romance",
The First Love,2012,Romance,
Poor But Honest,1965,"Drama, Romance",4.2
The Fighting Adventurer,1924,"Action, Drama, Romance",5.8
The Captain of Bandits,1926,Romance,
Ren'ai sôdan: O-kuchi ni dekinai o toshigoro,2021,Romance,
Love Sasha,2017,Romance,7.3
Sutalk,1990,"Drama, Romance",2.3
Badr,2001,"Action, Drama, Romance",2.2
The Nightingale Chronicles,2017,"Drama, Romance",
"Lord, Give Me a Lover",1976,"Drama, Romance",
Unmona Mon,2008,"Musical, Romance",
Made in Vizag,2013,Romance,
Chances,2022,"Action, Drama, Romance",
Rahasya the Bhoutik,2010,"Crime, Drama, Mystery",3.3
Dancing at Dawn,,"Drama, Family, Romance",
Dhan Dhana Dhan,2011,Romance,
Home Is Where the Heart Is,,Romance,
All's Well That Does Well,1979,Romance,
Anna's Vow,1951,"Drama, Romance",
Short of the Glory,2008,Romance,
Seven Days,I,Romance,
Yesil köskün lambasi,1960,"Drama, Romance",5.2
My Naked Villainy,2011,"Comedy, Drama, Romance",
Vacant Lot,2000,"Drama, Romance",7.7
The Charm School,1921,"Comedy, Romance",
From the Heart of the Crowd,2011,"Comedy, Drama, Romance",
Unknown,2005,"Drama, Mystery, Romance",5.7
Huangjiang nüxia,1930,"Action, Drama, History",6.6
Last Call at the Palace Hotel,,"Drama, Romance",
Paths at Sunset,,Romance,
Ask yarisi,1962,Romance,5.7
Vukuat var,1972,Romance,5.7
Alone,2014,Romance,
Gunde Jhallumandi,2008,Romance,5.9
Zeinab,1952,"Drama, Romance",5.8
Veronika,,"Drama, Romance, Thriller",
A Swedish Tale,,"Adventure, Family, Romance",
At bumuhos na ang huling patak ng ulan,1975,"Action, Adventure, Romance",
Shenandoah Treasure Hunt,2019,"Adventure, Comedy, Romance",
Evidence,1929,"Crime, Drama, Romance",7.3
V for Victor,2019,"Action, Crime, Drama",
Faust,2009,"Drama, Fantasy, Musical",6.3
Swan Lake: Kirov/Yelena Yevteyeva/John Markovsky,2003,Romance,
Flor del Carmen,1944,"Drama, Romance",
Chelovek rodilsya,1956,"Drama, Romance",7.4
I'll Take My Chances,2011,"Drama, Romance",
O - Maru,2002,"Comedy, Romance",
The Ticking Time-Bomb,2016,"Comedy, Drama, Romance",
Girls of Nowolipki,1937,"Drama, Romance",5.8
Hong luan xing dong,1968,"Drama, Romance",
You're Fired,1919,"Comedy, Romance",
Wedlocked,III,"Comedy, Romance",
French Affairs,2013,"Comedy, Family, Romance",5.7
Lady Lily: Adventures in God's Country,2010,"Drama, Fantasy, Music",
Hintónjáró szerelem,1955,"Comedy, Romance",6.1
Chowfan,,"Comedy, Romance",
Chemi qalaqis varskvlavi,1970,Romance,
North of Nevada,1924,"Action, Romance, Western",
Prem Ki Ganga,1971,Romance,
Changathipoocha,2007,"Comedy, Romance",2.7
The Voice of Love,1946,"Comedy, Romance",
Analarin Günahi,1966,"Drama, Romance",6.1
Al rahiba,1965,"Drama, Romance",6.0
Wild Geese,1927,"Drama, Romance",
Love Is Strange,,"Action, Mystery, Romance",
Bergama sevdalari,1952,"Drama, Romance",
Tunay na mahal,2000,"Drama, Romance",
Serving the King,,"Drama, Romance, Thriller",
Perfect Blond,,"Romance, Thriller",
Aliento,,"Fantasy, Romance",
The First Mrs. Fraser,1932,"Romance, Musical",
Ba ke li lan de xia tian,2017,"Drama, Family, Romance",7.5
Chakranta,2016,"Action, Drama, Romance",
Lie - Sex of A Woman Model,2019,Romance,
Makkhee Choos,1956,"Comedy, Drama, Romance",
Arkadasimin aski,1968,"Drama, Romance",7.3
Yaban gülü,1961,"Drama, Romance",4.3
Bobby Aur Rishi Ki Love Story,2022,Romance,
His Love Is Blind,2016,Romance,
Absolutely American: A Comedy Heated Rally with Action,2009,"Action, Comedy, Romance",
Password,2020,Romance,
Su gran ilusión,1945,"Drama, Musical, Romance",
Lohi Nu Tilak,1983,Romance,
Dates Like This,2012,Romance,
Diversify2: Equity,,"Adventure, Romance",
Maske in Blau,1943,"Comedy, Romance",6.7
Dark Rainbow,,"Action, Drama, Mystery",
It's a Matter of Time,1991,"Drama, Romance",
What Goes Up,1939,"Comedy, Musical, Mystery",
Oceanside,2012,"Drama, Music, Romance",
"Ligaw tingin, halik hangin",1976,"Comedy, Romance",
Miriam - Il diario,2014,"Comedy, Romance",
Paper Anchor,2016,"Drama, Mystery, Romance",
Yperohi optasia,1962,"Drama, Romance",5.6
Paradise Is a Personal Matter,2001,"Comedy, Romance",
Chicks,1980,"Drama, Romance",
Abductees Anonymous,,"Comedy, Romance, Sci-Fi",
Poyezdka v Visbaden,1990,"Drama, Romance",5.9
Leicester Square,,"Action, Romance",
ANNALIESE! ANNALIESE! Webisodes,2018,"Comedy, Romance",
The Pretty Sister of Jose,1915,"Romance, Drama",
All Secrets,2008,"Drama, Romance",
Thanatos,II,"Romance, Sci-Fi",
Hüzün Çemberi,1988,"Drama, Romance",2.4
Be Careful of What You Know,,"Action, Drama, Mystery",
Cupid the Cowpuncher,1920,"Comedy, Music, Romance",
Du ming han,1989,Romance,
A harapós férj,1938,"Comedy, Romance",6.7
One Night: Choice of Evil,2010,"Comedy, Drama, Romance",1.8
Los Iluminados,2015,"Comedy, Drama, Romance",6.6
Garipler sokagi,1960,Romance,
Ducks and Drakes,1921,"Comedy, Romance",6.5
Hai,2002,Romance,4.7
File 25,2010,"Crime, Drama, Romance",6.2
Twin Souls,2018,"Drama, Romance",
As Good As New,1933,"Drama, Romance",
A Sad Pastorale,1960,"Drama, Romance",
"Sing, Neighbor, Sing",1944,"Music, Romance",5.9
The Female,1924,"Drama, Romance",
Today,1930,"Drama, Romance",
Szerelmes szívek,1944,Romance,
Chun gui he chu,1967,"Drama, Romance",
A Song in the Shell,,"Drama, Romance",
Raja Sahib,1996,Romance,
Xazonrezgi,2016,"Comedy, Romance",
Rhapsody of Marriage,2012,Romance,4.4
Chilampu,1986,"Crime, Drama, Romance",6.9
Sekkusu ando the ote,2016,Romance,
'Til Death,,"Action, Adventure, Horror",
Preet Ki Dori,1971,"Action, Drama, Romance",6.6
The Night Is Young,2009,"Drama, Romance",
Long yan zhou,2005,"Drama, Music, Romance",6.0
Mr & Mrs: Chapter Two,2017,"Drama, Romance",
Tara Sasankam,1941,"Musical, Drama, Romance",
Young Fugitives,1938,"Crime, Drama, History",5.8
Totta,,"Drama, Romance",
Vantas,2018,Romance,5.8
Alenbi Romance,2005,"Drama, Romance",7.2
The Branded Man,1928,"Crime, Drama, Romance",
Million Dollar Haul,1935,"Action, Crime, Drama",5.0
Poran Priyo,2010,"Drama, Romance",
Metatitanic,2018,Romance,6.6
The Perfect Dance,,Romance,
Thirakil Alppam Samayam,1984,"Drama, Romance",
Crossroads,II,Romance,
Povest o pervoy lyubvi,1957,"Drama, Romance",6.6
"Ritmo, amor y primavera",1981,"Musical, Comedy, Romance",4.3
Kath' empodio gia kalo,1958,"Comedy, Romance",6.3
Saray,1997,"Drama, Romance",8.2
Manhattan kisu,1992,"Comedy, Romance",
Nevesta k zulíbání,1981,Romance,5.7
The Amorette Hotel,2020,"Comedy, Drama, Romance",
Forever After,1926,"Drama, Romance, War",
Almost Married,1919,"Comedy, Drama, Romance",
Teri Diwali Meri Christmas,2020,"Adventure, Fantasy, Romance",5.9
Fly Me to Venus,2015,Romance,6.1
Apasionata,1983,"Drama, Romance",7.0
After the Storm,1928,"Action, Drama, Romance",
Bedside Cry,2015,"Romance, Thriller",
A Year and a Day,2009,"Drama, Romance, War",8.7
I diki sou moira me sernei,1964,"Drama, Romance",
Becky,1927,"Comedy, Romance",
When Heaven Falls,,"Adventure, Drama, Romance",
Ente Meera,2020,Romance,
Baba hasreti,1964,Romance,
We Want Now,2016,Romance,
Nuevo amanecer,1954,"Drama, Romance",
Povodyr,2001,Romance,7.6
Köroglu-Türkan Sultan,1953,"Drama, Romance",
Nacha Regules,1950,"Drama, Romance",6.6
Acapulco,,Romance,
A Minute Longer,,"Mystery, Romance",
A Onda da Vida,2011,"Adventure, Romance, Sport",4.5
Los de la mesa 10,1960,"Drama, Romance",7.2
Khmer After Angkor,1972,Romance,
A Young Girl's Destiny,2013,"Comedy, Drama, Romance",
Pahadi Moina,2010,"Drama, Romance",
Tvali patiosani,1976,"Drama, Romance",7.5
Royals,,"Comedy, Romance",
Ek Zindgi Arman Bhari,1984,Romance,
Tomar Jonyo,2008,Romance,7.9
Ballia Ke Dabangai,2016,"Action, Drama, Romance",5.3
Kuningas kulkureitten,1953,"Adventure, Drama, History",5.2
The Land with No Boundary,2011,"Fantasy, Romance",
La Vespa,,"Comedy, Romance",
I Spy,1934,"Comedy, Drama, Romance",6.1
Alev Gibi Bir Kiz,1990,Romance,
Ee Sanje,2011,Romance,6.4
Sorry 22 Sorry,2019,"Comedy, Drama, Romance",
Nishana,1950,"Drama, Romance",7.5
Besame,1990,"Drama, Romance",7.4
Tria poulakia kathontai...,2003,"Comedy, Romance",5.1
Arsena Kachagi,1923,"Action, Adventure, Romance",6.1
Les premiers outrages,1955,"Comedy, Drama, Romance",5.3
Das Land des Lächelns,1974,"Drama, Musical, Romance",6.0
Satilik kalp,1965,"Drama, Romance",5.6
Kudamattom,1997,Romance,4.5
South of Heaven,2009,"Action, Drama, Horror",
"Frihed, lighed og Louise",1944,"Comedy, Family, Romance",6.0
LA Underground,2012,"Comedy, Romance, Sport",9.0
A Fight for the Good Guy,2019,Romance,
Yeogiboda eodingae,2007,"Drama, Romance",5.5
The Fox Mission,,"Action, Adventure, Fantasy",
Aadaalla Majaka,1995,Romance,
Honest Man Wanted,1963,"Comedy, Drama, Romance",6.1
Prem Lagan,2022,Romance,
Corrida,1982,"Drama, Romance",6.1
The Back Streets,1974,"Drama, Romance, War",4.4
The Week,2004,"Drama, Comedy, Crime",7.0
Reset,2019,"Drama, Romance",
Salanghagi joheun nal,1995,Romance,5.7
Amazzoni bianche,1936,"Comedy, Romance",
Soluk gecenin ask hikayeleri,1966,"Drama, Fantasy, Romance",6.4
Cuba Cabana,1952,"Drama, Music, Romance",6.5
Halálos csók,1942,"Drama, Romance",7.0
Min Gan Shi Jian,2010,"Drama, Mystery, Romance",6.1
Making the Headlines,1938,"Crime, Drama, Mystery",7.2
Kontakt,2005,"Drama, Romance, Sci-Fi",5.8
Praamaadya: An Intoxication,2022,"Drama, Romance, Thriller",
The Palmist,2014,"Drama, Mystery, Romance",
Ladies Must Live,1921,"Drama, Romance",7.1
Askin kanunu,1971,"Drama, Romance",7.0
Before She Leaves,2017,Romance,6.9
Alice in Wonderland,2005,"Drama, Romance",3.3
The Laundry Club,,"Action, Drama, Romance",
Feuer unter Deck,1979,"Comedy, Drama, Romance",5.9
Love Evaluated,2011,Romance,
Jungle Queen,1991,Romance,
The Villa with the Water Lilies,1945,"Drama, Romance",6.0
Meondong-i teul ttae,1927,"Drama, Romance",
Lokarri,2003,"Romance, Sport",
Cuffs & Shield,2017,"Action, Comedy, Drama",
Good and Naughty,1926,"Comedy, Romance",
The Tough Guy with the Tricycle,1972,"Comedy, Romance",4.6
The Judgment House,1917,"Drama, Romance, War",
Zal ozhidaniya,1992,Romance,
Jin se de xia wa,1970,"Comedy, Romance",
Love and Sex Between Prime Numbers,,Romance,
Treacherous Heart,2012,"Drama, Family, Romance",
The County Fair,1932,"Crime, Drama, Romance",
Cantaclaro,1946,"Drama, Musical, Romance",7.3
Daisi,1971,"Musical, Romance",
Pabling,1981,"Comedy, Drama, Romance",7.0
Hanggang dito na lang,1997,"Drama, Romance",
Love & Let Love!,1998,"Drama, Fantasy, Romance",6.9
Poonam Ka Chand,1967,Romance,
American English,,"Comedy, Romance",
Behind the Mike,1937,"Action, Comedy, Romance",
Tujhe Pyar Karne Laga hoon,,Romance,
Reyhan,1969,"Drama, Romance",5.4
Please Love Her,2017,"Comedy, Romance",5.3
Horny Married Woman - I like the Spirit World,2019,Romance,
The Soul of Buddha,1918,Romance,6.6
Louise,I,"Drama, Romance",
The Love App,,"Comedy, Romance",
Lyngos the Archbandit,1959,"Adventure, Drama, Romance",3.6
Ren'ai-shousetsu,2004,Romance,7.0
yek taebir asheghane,,Romance,
Tokyo Nameless Girl's Story,2012,"Comedy, Romance",4.3
Akecheta,2014,"Action, Romance, Western",
The Lemon Grove,,"Drama, Romance",
"Fish, Sweets & More",2013,"Comedy, Drama, Romance",6.5
Nabasag ang banga,1947,"Comedy, Romance",
Love Stalk,2016,"Comedy, Romance, Thriller",7.1
Self-Help,,"Comedy, Romance",
Maatho Pettukoku,1995,"Action, Drama, Romance",6.9
Die Dame mit dem Hündchen,2009,Romance,
Kvindelist og kærlighed,1960,"Comedy, Romance",5.7
Sneho,1994,"Comedy, Drama, Romance",6.8
Savage Play,1995,"Drama, Romance",5.2
Xun zhao liu san jie,2009,"Comedy, Drama, Music",6.4
Két fogoly,1938,"Drama, Romance, War",6.6
Dong nan xi bei feng,1972,"Comedy, Romance",
Ex Plan,2018,"Comedy, Romance",
Uchitel tantsev,1952,"Drama, Romance",7.1
Secret Love,1994,"Drama, Music, Romance",
Couples Counseling,,Romance,
Olympic3D,,"Adventure, Comedy, Romance",
Beautiful Stranger,I,"Comedy, Romance",
Sunny Side Up,1926,"Comedy, Drama, Romance",5.8
Little Brown Dog,2017,"Drama, Mystery, Romance",
Middle-Wall Lovers,1967,"Crime, Drama, Romance",
Ti ho sempre amato!,1953,"Drama, Romance",6.2
Desert Rider,1923,"Comedy, Romance, Western",5.1
Aapna Malak Na Mayalu Manvi,1994,Romance,
Recipe for Disaster,,Romance,
Ro Man Tic,,"Comedy, Romance",
Chateau De Elizabeth,,"Comedy, Romance",
Man-Eater,1957,"Adventure, Romance",
American Rejects,2010,"Comedy, Drama, Romance",
Pobeg na kray sveta,1991,Romance,
Super Story,2015,"Action, Romance",5.8
Onduralli Obba Raja,2021,Romance,
Damaged Love,1931,"Drama, Romance",
Aibu,1933,"Drama, Romance",7.2
The Good-Bye Kiss,1928,"Action, Comedy, Romance",
Strictly Professional,2018,"Comedy, Romance",8.6
El Zawraq,1977,Romance,
Mnichovo srdce,1921,Romance,
Stocking Horse,,Romance,
Swollen Feet,2013,"Drama, Romance, Thriller",
Lovers,2020,"Action, Comedy, Drama",8.5
Kapicinin kizi,1969,"Drama, Romance",
Senor Jim,1936,"Adventure, Drama, Romance",5.0
Port of Hate,1939,"Action, Adventure, Crime",4.8
Twisted Crown,I,"Fantasy, Romance, Thriller",
DNA. ThePardoned,,"Drama, Romance, Thriller",
Prantarekha,1974,Romance,
Rolling Thunder,,"Drama, Romance",
Prodomeni,1965,"Drama, Romance",4.9
Summer,II,Romance,
Worm Max,2015,"Comedy, Romance, Sci-Fi",
Spring of Li River,1981,"Drama, Romance",
Chilakamma Cheppindi,1977,"Drama, Romance",6.9
Aa to Prem Chhe,2015,Romance,
Love Socks,2015,"Comedy, Drama, Romance",6.6
Guhit ng palad,1988,"Drama, Romance",
The Infamous Exploits of Jack West,2011,"Adventure, Crime, Romance",
Kozha,2015,"Crime, Drama, Romance",5.2
Su primer amor,1960,"Musical, Comedy, Romance",
My Airhostess Roommate,2009,"Comedy, Romance",4.9
Hristinio,1970,"Drama, Romance",
La sonnambula,1954,"Music, Romance",
Rain on My Wedding Day,,"Drama, Romance",
Daysleepers,2018,"Drama, Romance",7.2
Creative Mind,,"Fantasy, Horror, Mystery",
The Extravagant Shadows,2012,Romance,
Acrobacias del corazón,2000,"Drama, Romance",5.6
Lovers and Madmen,,"Drama, Romance, Thriller",
Along Those Lines,2015,"Comedy, Romance",
The Port's First Lady,1969,"Drama, Romance",4.8
"Droso, i arhodopoula",1967,"Drama, Romance",
The Golden Web,1926,"Action, Crime, Drama",
Should've Kissed,2010,"Drama, Romance",
Asawa Ko Silang Lahat (sa Puting Tabing),1977,Romance,
Letters to a Stranger,2007,"Drama, Romance",8.1
So Happy Together,1967,"Musical, Romance",
Yasadikça,1984,"Action, Drama, Romance",3.6
Akwaaba,2019,"Comedy, Romance",
La liga de las canciones,1941,"Comedy, Musical, Romance",
Love Call,,Romance,
El Viaje de Laura,,"Drama, Romance",
Trilogy of Our Lives Undone,2016,"Drama, Romance",
Nessaa fi hayati,1957,"Drama, Romance",7.1
Öldüren ask,1969,"Drama, Romance",4.6
"Sadie Silver Mysteries: Catalina, Crimes, and Coconut Pies",,"Adventure, Crime, Drama",
The Cricket on the Hearth,1923,"Comedy, Drama, Romance",6.1
First Comes Like,2016,Romance,6.0
"Amour, destin et rock 'n' roll",2008,Romance,3.6
Prema Khaidi,1990,Romance,6.9
Ask ve intikam,1965,"Drama, Romance",5.4
Gajimaru shokudô no koi,2014,"Comedy, Romance",
Sahabat,1991,"Action, Comedy, Romance",7.8
Contra viento y marea,1962,"Comedy, Drama, Romance",4.5
Atom of Love,2022,"Drama, Romance",
Strela lyubvi,2003,"Comedy, Romance",2.7
"Gia sena, tin agapi mou",1961,"Drama, Romance",5.1
Glass: A Love Story,,Romance,
Szüzijáték,2006,"Comedy, Mystery, Romance",5.0
Beyaz güller,1970,"Drama, Romance",7.3
Ricky (Nakalnya Anak Muda),1990,"Drama, Romance",
Marysia i Napoleon,1966,"Comedy, History, Romance",6.1
Çifte nikah,1962,Romance,5.2
Struck,2010,"Drama, Romance",5.7
Nezhdanno-negadanno,1983,"Comedy, Romance",6.5
The Crazy Stupid Lover,2020,Romance,
Hayat bazen tatlidir,1962,"Comedy, Romance",5.9
Deceitfully Funny,2003,"Comedy, Drama, Romance",7.4
The Love Gambler,1922,"Adventure, Romance, Western",
Palabras,2003,"Drama, Romance",7.2
Wat doen we met de liefde?,1957,"Comedy, Romance",4.9
Ang boxer at ang sexy,1972,"Action, Romance, Sport",
Because of You,2010,"Drama, Romance",
Kazakebi,1928,"Drama, Romance, War",5.6
Sygnaly,1938,"Drama, Romance",5.8
Brahmi Gadi Katha,2011,Romance,7.2
A Broken Romance,1929,"Drama, Romance",
Top Sergeant,1942,"Crime, Drama, Romance",5.4
A College Murder Mystery: Scientific Death,,"Action, Adventure, Family",
Secrets & Lies,2018,"Drama, Romance",
Nanda Nanditha,2012,Romance,
Gone,2006,"Action, Drama, Family",
Mohabbath,2011,"Drama, Romance",4.0
July21,2014,"Comedy, Drama, Romance",
The Love Is Forever,2015,Romance,
L'Ordre Des Diamantaires,,"Crime, Drama, Romance",
Scheidungsreise,1938,"Comedy, Romance",
Fighting Fate,1925,"Action, Adventure, Romance",6.0
Askim Günahimdir,1984,"Drama, Music, Romance",5.1
Free to Love,1981,"Drama, Romance",
The Singleton,2015,"Drama, Romance, Thriller",3.9
The Swamp,1956,"Horror, Romance",
Aag Laga Do Sawan Ko,1991,"Drama, Romance",6.1
Raped by Miss Kam,1998,Romance,
Historien Om Min Tröja,,"Drama, Romance",
Love Feast,2022,Romance,
Kimi shinitamo koto nakare,1954,"Drama, Romance, War",
Samaritan,III,"Horror, Romance, Thriller",
The Why Generation,,"Comedy, Drama, Romance",
Whispering Wind,I,"Adventure, Drama, Romance",
Goa Girls,2016,Romance,
The Black Monk,2017,"Drama, Romance",
Roman,II,"Drama, Romance",
Ye Banks and Braes,1919,Romance,
Projection,2014,"Drama, Mystery, Romance",
Ek Takar Bou,2008,"Drama, Romance",6.2
PursotRama,2021,"Comedy, Drama, Romance",
Feng yue qiao jia ren,1991,"Romance, Drama",
Kalo Bhromor,2016,"Romance, Thriller",4.1
City of Beautiful Nonsense,1935,"Drama, Music, Romance",
Ai de shi ni,2006,Romance,5.4
Above the Clouds,1933,"Action, Adventure, Drama",6.1
Ilk ve son,1968,"Drama, Romance",5.3
That's How My Life Ended,1952,"Drama, Romance",4.4
Hannah Do and Daniel Dang,2021,Romance,
Czy Lucyna to dziewczyna?,1934,"Comedy, Romance",6.8
Éjféli gyors,1943,"Drama, Romance",5.2
Engato,2020,"Drama, Romance, Sport",
Hyderabad Biryani,2020,Romance,
Buzby,,"Animation, Comedy, Romance",
Secret of the Skies,1934,"Action, Drama, Romance",
Dalawang mukha ng pag-ibig,1967,Romance,
Zumrad,1962,"Drama, Romance",
Ryadom s vami,1967,"Drama, Romance",
Jappanil Kalyanaraman,1985,"Action, Comedy, Romance",5.8
Kyläraittien kuningas,1945,"Drama, Romance",5.6
Nomad,IV,"Horror, Romance, Sci-Fi",
Stars Versus Me,2015,"Comedy, Romance",8.8
Wicked Bad,2010,"Comedy, Drama, Romance",8.3
Cikgu romantik,1993,"Comedy, Romance",
Somewhere,2004,Romance,6.0
Zindagi Rocks,2015,"Romance, Comedy",
The Hidden Spring,1917,"Adventure, Romance",6.0
Den ryby,1990,"Drama, Romance",7.0
Five Nights,1915,Romance,
Bezbiletnaya passazhirka,1978,"Adventure, Comedy, Romance",6.6
Kad narandza u Slance dodje,2018,Romance,
Je suis avec toi,1943,Romance,6.2
Gadzho,1992,"Drama, Romance",
Falling for George,,"Comedy, Romance",
Moi dorogiye,1975,"Drama, Romance",5.4
